author,total_exclaim,avg_length,emoji_ratio,x,y
bejeweled-beluga,2,369.5,0.0,4967.141530112327,-8392.175232226386
bold-bison,5,97.6,0.2,-1382.6430117118466,-3092.1237585121457
bouncy-worm,5,50.2,0.0,6476.885381006925,3312.6343140356394
cackling-eland,51,120.15686274509804,0.35294117647058826,15230.298564080253,9755.451271223592
cheerful-boar,1,1283.0,0.0,-2341.53374723336,-4791.742378452899
cheerful-mule,54,89.22222222222223,0.12962962962962962,-2341.3695694918056,-1856.589766638171
chuckling-stork,1,125.0,0.0,15792.128155073915,-11063.349740060283
coltish-owl,1,17.0,0.0,7674.347291529088,-11962.066240806707
cordial-eel,5,114.8,0.4,-4694.743859349521,8125.25822394198
dazzling-curlew,5,153.0,0.2,5425.6004358596465,13562.400285708229
dazzling-yak,3,92.66666666666667,0.6666666666666666,-4634.1769281246225,-720.1012158033385
ebullient-mosquito,12,70.41666666666667,0.5,-4657.297535702569,10035.32897892024
elaborate-jay,3,81.33333333333333,0.0,2419.6227156603413,3616.3602504763417
entertaining-pig,3,289.6666666666667,0.3333333333333333,-19132.802446577978,-6451.197546051243
ethereal-lapwing,1,8.0,0.0,-17249.178325130328,3613.9560550841393
eye-catching-hare,21,127.0,0.23809523809523808,-5622.875292409727,15380.365664659692
eye-catching-okapi,5,42.4,0.0,-10128.311203344238,-358.2603910995154
flecked-beluga,1,25.0,0.0,3142.473325952739,15646.436558140062
flexible-platypus,91,65.67032967032966,0.10989010989010989,-9080.24075521211,-26197.451040897442
freckled-wolverine,2,23.0,0.5,-14123.037013352914,8219.025043752239
funny-swallow,2,37.5,0.0,14656.48768921554,870.4706823817121
goofy-tiger,6,25.0,0.16666666666666666,-2257.7630048653564,-2990.073504658674
happy-beaver,11,163.27272727272728,0.2727272727272727,675.2820468792384,917.6077653550229
intense-toad,35,189.94285714285715,0.2857142857142857,-14247.481862134568,-19875.68914600893
joyful-okapi,1,40.0,0.0,-5443.827245251827,-2196.7188783751194
kooky-tapir,41,72.48780487804878,0.0,1109.2258970986609,3571.125715117464
limber-ostrich,12,61.166666666666664,0.16666666666666666,-11509.935774223028,14778.940447415162
lustrous-reindeer,5,19.0,0.0,3756.9801834567197,-5182.702182736474
multicolored-dogfish,2,59.0,0.0,-6006.38689918805,-8084.9360289318765
nutty-chamois,2,313.5,0.0,-2916.9374979327677,-5017.570435845366
peculiar-ape,1,73.0,0.0,-6017.066122293969,9154.02117702074
pellucid-quelea,4,123.75,0.5,18522.78184508938,3287.5110965968447
peppy-badger,1,66.0,0.0,-134.97224737933922,-5297.602037670388
peppy-rat,25,74.16,0.4,-10577.109289559003,5132.674331133561
piebald-jay,5,51.4,0.4,8225.44912103189,970.7754934804038
piebald-rhinoceros,1,126.0,1.0,-12208.436499710222,9686.449905328893
psychedelic-boar,3,72.66666666666667,0.0,2088.635950047554,-7020.530938773523
quick-chamois,14,79.92857142857143,0.2857142857142857,-19596.701238797756,-3276.621465977682
radiant-coyote,57,97.33333333333333,0.2807017543859649,-13281.860488984305,-3921.081531321576
resplendent-aardwolf,5,53.6,0.0,1968.6123586912352,-14635.149481321187
saturated-whistling duck,13,71.92307692307692,0.0,7384.665799954104,2961.2027706457607
silky-lapwing,3,23.0,0.0,1713.682811899705,2610.5527217988933
snorting-ibex,16,61.0,0.125,-1156.4828238824052,51.1345664246089
soft-eland,9,71.33333333333333,0.1111111111111111,-3011.036955892888,-2345.871333751469
sparkly-mole,1,6.0,0.0,-14785.219903674273,-14153.707420504143
splattered-barracuda,11,96.63636363636364,0.0,-7198.442083947087,-4206.45322765359
springy-hare,117,137.14529914529913,0.3162393162393162,-4606.387709597875,-3427.1451652676947
sudsy-eland,83,52.795180722891565,0.060240963855421686,10571.222262189158,-8022.772692216189
sudsy-gazelle,1,42.0,0.0,3436.1828956846143,-1612.8571166600914
sudsy-jellyfish,42,170.64285714285714,0.023809523809523808,-17630.40155362734,4040.508568145384
sunny-gazelle,2,33.0,0.0,3240.83969394795,18861.859012105302
upbeat-pigeon,7,81.85714285714286,0.2857142857142857,-3850.8228041631655,1745.7781283183897
vivid-rhinoceros,7,169.71428571428572,0.42857142857142855,-6769.220003059587,2575.5039072276436
waggish-porcupine,5,33.4,0.0,6116.762888408679,-744.4591576616722
wispy-reindeer,1,39.0,0.0,10309.99522495951,-19187.712152990414
zany-trout,1,6.0,0.0,9312.801191161985,-265.1387544921688
