author,total_exclaim,avg_length,emoji_ratio,avg_hour,PC1,PC2
bejeweled-beluga,2,369.5,0.0,10.5,2.0731582752983964,0.6694178275168713
bold-bison,5,97.6,0.2,12.2,0.48326272161720774,0.2890471041108436
bouncy-worm,5,50.2,0.0,16.8,0.025440409994377865,-1.079805269038085
cackling-eland,51,120.15686274509804,0.35294117647058826,15.156862745098039,-1.2071301739111449,1.214859026046786
cheerful-boar,1,1283.0,0.0,14.0,4.372185415728956,2.5161325723492087
cheerful-mule,54,89.22222222222223,0.12962962962962962,13.444444444444445,-0.6324581987555941,0.8561562891925322
chuckling-stork,1,125.0,0.0,11.0,1.2578484962817347,-0.07073810247547409
coltish-owl,1,17.0,0.0,18.0,-0.18205257462651941,-1.430736782196987
cordial-eel,5,114.8,0.4,10.8,0.34224654797407084,1.0866457473194
dazzling-curlew,5,153.0,0.2,14.0,0.3707062234304887,0.158243621245022
dazzling-yak,3,92.66666666666667,0.6666666666666666,8.666666666666666,0.09911807453475659,2.0329061290259296
ebullient-mosquito,12,70.41666666666667,0.5,14.25,-0.6961820417275493,0.846718773152539
elaborate-jay,3,81.33333333333333,0.0,19.666666666666668,-0.2883019356573851,-1.47796937210845
entertaining-pig,3,289.6666666666667,0.3333333333333333,16.0,0.2438890378863334,0.5291539764644907
ethereal-lapwing,1,8.0,0.0,19.0,-0.3678340227464667,-1.6081020556374237
eye-catching-hare,21,127.0,0.23809523809523808,16.047619047619047,-0.45168149968747195,0.1940008135503696
eye-catching-okapi,5,42.4,0.0,17.8,-0.15662287988373966,-1.2540120953948297
flecked-beluga,1,25.0,0.0,10.0,1.1058972374354625,-0.18026510580374047
flexible-platypus,91,65.67032967032966,0.10989010989010989,15.208791208791208,-1.7278855231950132,1.2020124743272513
freckled-wolverine,2,23.0,0.5,16.5,-0.9862393372125294,0.17830440998543656
funny-swallow,2,37.5,0.0,9.0,1.2813107203514476,0.026096181497829492
goofy-tiger,6,25.0,0.16666666666666666,16.833333333333332,-0.4252526326519557,-0.6838214453519648
happy-beaver,11,163.27272727272728,0.2727272727272727,16.545454545454547,-0.2776960018029663,0.10814562449950832
intense-toad,35,189.94285714285715,0.2857142857142857,15.514285714285714,-0.5683167347836193,0.8465041502465169
joyful-okapi,1,40.0,0.0,21.0,-0.5844736589101139,-1.8312306406977912
kooky-tapir,41,72.48780487804878,0.0,13.853658536585366,-0.20394160964418254,0.14386134539482204
limber-ostrich,12,61.166666666666664,0.16666666666666666,15.25,-0.190466204584415,-0.22660430993776481
lustrous-reindeer,5,19.0,0.0,14.4,0.30771692284173424,-0.7931002844634911
multicolored-dogfish,2,59.0,0.0,15.0,0.40055615434689723,-0.839376496795827
nutty-chamois,2,313.5,0.0,9.5,2.057539485319222,0.6757005505906502
peculiar-ape,1,73.0,0.0,22.0,-0.6401195685660135,-1.8980502662090029
pellucid-quelea,4,123.75,0.5,20.25,-1.3086013848758258,-0.09323833505164446
peppy-badger,1,66.0,0.0,10.0,1.2329343106979855,-0.07235149711092552
peppy-rat,25,74.16,0.4,15.56,-0.9595083898195154,0.6438550627369791
piebald-jay,5,51.4,0.4,13.2,-0.23314477293754537,0.5509498509804089
piebald-rhinoceros,1,126.0,1.0,15.0,-1.4474497884320205,2.0030856550322462
psychedelic-boar,3,72.66666666666667,0.0,17.0,0.1058987294126597,-1.0909752579900156
quick-chamois,14,79.92857142857143,0.2857142857142857,16.071428571428573,-0.5516979261581327,0.0558608280132713
radiant-coyote,57,97.33333333333333,0.2807017543859649,14.473684210526315,-1.1472250265071682,1.1844508131416773
resplendent-aardwolf,5,53.6,0.0,12.0,0.7938724459494323,-0.33320711813311116
saturated-whistling duck,13,71.92307692307692,0.0,14.76923076923077,0.24369669898112933,-0.55227590472091
silky-lapwing,3,23.0,0.0,13.666666666666666,0.4783258287576634,-0.7094434723558992
snorting-ibex,16,61.0,0.125,13.125,0.14622842888262216,0.06674350367544704
soft-eland,9,71.33333333333333,0.1111111111111111,14.444444444444445,0.1472446937273551,-0.28461821035688206
sparkly-mole,1,6.0,0.0,9.0,1.2049216599127115,-0.07659693098278703
splattered-barracuda,11,96.63636363636364,0.0,12.454545454545455,0.7281729873000707,-0.17108360684430432
springy-hare,117,137.14529914529913,0.3162393162393162,15.88888888888889,-2.593883719447761,2.3542360807187097
sudsy-eland,83,52.795180722891565,0.060240963855421686,14.397590361445783,-1.366881080925962,1.0011638013071584
sudsy-gazelle,1,42.0,0.0,22.0,-0.7361719898132869,-1.9796434825377167
sudsy-jellyfish,42,170.64285714285714,0.023809523809523808,13.333333333333334,0.11168470170576329,0.565905131241169
sunny-gazelle,2,33.0,0.0,19.0,-0.3115849861176426,-1.5225171981934729
upbeat-pigeon,7,81.85714285714286,0.2857142857142857,13.0,0.08772985603616139,0.3944574517653255
vivid-rhinoceros,7,169.71428571428572,0.42857142857142855,18.714285714285715,-0.8389944379640469,0.1312469828231379
waggish-porcupine,5,33.4,0.0,16.8,-0.026613805391241297,-1.124023528209775
wispy-reindeer,1,39.0,0.0,13.0,0.6755899663381436,-0.6044473174322358
zany-trout,1,6.0,0.0,12.0,0.7312358759940432,-0.537627691921024
