author,total_questions,avg_length,has_emoji_ratio
bejeweled-beluga,1,227.0,0.0
bold-bison,8,83.125,0.125
bouncy-worm,2,67.0,0.0
cackling-eland,15,93.06666666666666,0.0
carefree-lark,26,91.96153846153847,0.038461538461538464
cheerful-boar,1,50.0,0.0
cheerful-mule,8,96.875,0.125
coltish-owl,3,81.0,0.0
cordial-eel,2,87.5,0.0
dazzling-curlew,1,77.0,0.0
dazzling-yak,4,108.75,0.75
ebullient-mosquito,18,62.888888888888886,0.05555555555555555
elaborate-jay,3,145.33333333333334,0.0
entertaining-pig,4,332.0,0.0
ethereal-lapwing,2,171.5,0.0
eye-catching-hare,12,124.91666666666667,0.08333333333333333
eye-catching-okapi,5,203.4,0.0
flexible-platypus,18,81.61111111111111,0.1111111111111111
gaudy-whale,1,95.0,0.0
giddy-tardigrade,1,80.0,0.0
goofy-tiger,1,461.0,0.0
happy-beaver,5,172.2,0.2
hilarious-dogfish,2,177.5,0.0
intense-toad,90,124.94444444444444,0.011111111111111112
joyful-okapi,16,65.8125,0.0
limber-ostrich,10,101.5,0.0
loony-albatross,1,40.0,0.0
lustrous-reindeer,3,168.0,0.0
merry-salamander,1,97.0,0.0
mind-blowing-kudu,6,74.16666666666667,0.0
multicolored-dogfish,2,231.5,0.0
pellucid-quelea,5,138.4,0.0
peppy-badger,1,28.0,0.0
peppy-rat,4,87.25,0.0
piebald-jay,2,104.5,0.0
piebald-rhinoceros,4,54.75,0.0
psychedelic-boar,3,55.666666666666664,0.0
quick-chamois,2,67.0,0.0
radiant-coyote,44,147.9090909090909,0.25
resplendent-aardwolf,1,251.0,0.0
riotous-wombat,1,19.0,0.0
rollicking-ostrich,2,39.0,0.0
saturated-whistling duck,17,86.41176470588235,0.058823529411764705
silky-lapwing,35,92.65714285714286,0.0
snorting-ibex,19,155.6315789473684,0.0
soft-eland,8,84.75,0.0
splattered-barracuda,4,127.25,0.0
springy-hare,49,201.24489795918367,0.061224489795918366
stippled-pig,1,51.0,0.0
sudsy-eland,10,95.1,0.0
sudsy-jellyfish,36,125.66666666666667,0.027777777777777776
sunny-gazelle,4,79.75,0.0
upbeat-pigeon,7,149.14285714285714,0.0
vivid-rhinoceros,16,192.375,0.125
waggish-porcupine,7,77.42857142857143,0.0
wispy-reindeer,1,49.0,0.0
zany-trout,3,205.0,0.3333333333333333
